company_name,location,ctc,skill_required
Humming Bird Education Limited,Delhi,"₹ 2,05,000 - 3,85,000                                

                        ₹ 2,05,000 - 3,85,000 /year",Effective Communication
Livride And Services LLP,"Gurgaon, Noida, Delhi","₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",Client Interaction
Westwall Studio,Ahmedabad,"₹ 4,80,000 - 6,00,000                                

                        ₹ 4,80,000 - 6,00,000 /year",Adobe After Effects
ZugZwang Chess School Private Limited,Bangalore,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Mathematics
Vagabond Holidays,Gurgaon,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",Digital Marketing
CryptoXpress,Work from home,"₹ 6,00,000 - 8,00,000                                

                        ₹ 6,00,000 - 8,00,000 /year",Blockchain
Edgar Interactive,Mangalore,"₹ 2,00,000 - 3,20,000                                

                        ₹ 2,00,000 - 3,20,000 /year",MS-Office
Mint And Peach Photography,Mumbai                                            (Hybrid),"₹ 2,00,000                                

                        ₹ 2,00,000 /year",English Proficiency (Spoken)
IESoft Technologies Private Limited,Work from home,"₹ 2,70,000 - 3,21,000                                

                        ₹ 2,70,000 - 3,21,000 /year",C Programming
Bizzhype Enterprises,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Business Analysis
Creatiwise,Work from home,"₹ 2,40,000 - 3,50,000                                

                        ₹ 2,40,000 - 3,50,000 /year",Adobe After Effects
Shubham Pharmachem Private Limited,Mumbai,"₹ 3,00,000 - 7,00,000                                

                        ₹ 3,00,000 - 7,00,000 /year",Coordination
Hays Business Solutions,"Faridabad, Delhi, Ghaziabad, Gurgaon, Noida","₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",American English
Wishbag Online Private Limited,"Delhi, Ghaziabad, Noida","₹ 2,00,000 - 2,16,000                                

                        ₹ 2,00,000 - 2,16,000 /year",Canva
Mostly Events,Mumbai                                            (Hybrid),"₹ 2,40,000 - 6,00,000                                

                        ₹ 2,40,000 - 6,00,000 /year",Human Resources
Nativer Private Limited,Erode                                            (Hybrid),"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Field Work
The OmniJobs,"Noida, Bangalore","₹ 7,00,000 - 11,00,000                                

                        ₹ 7,00,000 - 11,00,000 /year",Business Development
Gyansthan Education Services,"Vapi, Vadodara, Ankleshwar, Gujarat","₹ 4,20,000 - 6,00,000                                

                        ₹ 4,20,000 - 6,00,000 /year",Classroom Management
Step In College,Jaipur,"₹ 2,50,000 - 3,50,000                                

                        ₹ 2,50,000 - 3,50,000 /year",English Proficiency (Written)
Creatiwise,Work from home,"₹ 2,00,000 - 3,50,000                                

                        ₹ 2,00,000 - 3,50,000 /year",Adobe After Effects
Creatiwise,Mumbai,"₹ 3,00,000 - 4,50,000                                

                        ₹ 3,00,000 - 4,50,000 /year",Adobe After Effects
Kelvin Energy Solutions,"Delhi, Pune, Bangalore, Navi Mumbai","₹ 2,10,000 - 5,50,000                                

                        ₹ 2,10,000 - 5,50,000 /year",Marketing
Gyansthan Education Services LLP,"Vapi, Vadodara, Ankleshwar, Gujarat","₹ 4,00,000 - 6,00,000                                

                        ₹ 4,00,000 - 6,00,000 /year",Teaching
Driptor,Work from home,"₹ 2,00,000 - 4,80,000                                

                        ₹ 2,00,000 - 4,80,000 /year",Prospecting
AI Certs,Work from home,"₹ 2,00,000 - 3,60,000                                

                        ₹ 2,00,000 - 3,60,000 /year",Content Editing
Bridge2job,Work from home,"₹ 2,80,000 - 3,00,000                                

                        ₹ 2,80,000 - 3,00,000 /year",Creative Writing
Goodera,Bangalore,"₹ 6,00,000 - 10,00,000                                

                        ₹ 6,00,000 - 10,00,000 /year",Community Management
Yashjyoti Debt Consultancy Private Limited,"Kolhapur, Pune, Nashik, Sambhaji Nagar, Aurangabad","₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",English Proficiency (Written)
Jeeva.ai,Pune,"₹ 2,00,000 - 10,00,000                                

                        ₹ 2,00,000 - 10,00,000 /year",Business Development
Make My Bharat Yatra Private Limited,"Ghaziabad, Noida","₹ 2,00,000 - 2,15,000                                

                        ₹ 2,00,000 - 2,15,000 /year",MS-Excel
Ace Stayz Pvt. Ltd.,"Delhi, Ghaziabad, Gurgaon, Greater Noida, Noida","₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Adobe Photoshop
Saffron Technologies,Bangalore                                            (Hybrid),"₹ 5,00,000 - 7,50,000                                

                        ₹ 5,00,000 - 7,50,000 /year",English Proficiency (Spoken)
Navikshaa,Bangalore,"₹ 4,80,000 - 7,80,000                                

                        ₹ 4,80,000 - 7,80,000 /year",Automation
EaseRent,Work from home,"₹ 2,50,000 - 4,00,000                                

                        ₹ 2,50,000 - 4,00,000 /year",English Proficiency (Spoken)
CodeFobe,Work from home,"₹ 3,60,000 - 4,80,000                                

                        ₹ 3,60,000 - 4,80,000 /year",Collaboration
Universal Adventures,Work from home,"₹ 2,16,000 - 3,60,000                                

                        ₹ 2,16,000 - 3,60,000 /year",Hindi Proficiency (Spoken)
INFIACT Private Limited,Bangalore,"₹ 2,90,000 - 4,60,000                                

                        ₹ 2,90,000 - 4,60,000 /year",Business Development
MediaCom India,Work from home,"₹ 5,00,000 - 8,00,000                                

                        ₹ 5,00,000 - 8,00,000 /year",Database Testing
Growth Factoryy,Work from home,"₹ 3,00,000 - 3,60,000                                

                        ₹ 3,00,000 - 3,60,000 /year",Facebook Ads
MediaCom India,Work from home,"₹ 5,00,000 - 8,00,000                                

                        ₹ 5,00,000 - 8,00,000 /year",Data Analytics
QA Solvers,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
SKB Enterprises,Delhi,"₹ 2,50,001                                

                        ₹ 2,50,001 /year",MS-Excel
MediaCom India,Work from home,"₹ 5,00,000 - 8,00,000                                

                        ₹ 5,00,000 - 8,00,000 /year",CSS
"DB Skills Foundation                            
NGO","Indore, Korba, Khordha","₹ 2,12,000 - 2,34,000                                

                        ₹ 2,12,000 - 2,34,000 /year",English Proficiency (Spoken)
MediaCom India,Work from home,"₹ 5,00,000 - 8,00,000                                

                        ₹ 5,00,000 - 8,00,000 /year",Data Analytics
Sapphire Tech,Work from home,"₹ 4,00,000 - 7,00,000                                

                        ₹ 4,00,000 - 7,00,000 /year",MS-Excel
Compaxion,Work from home,"₹ 4,00,000 - 7,00,000                                

                        ₹ 4,00,000 - 7,00,000 /year",MS-Excel
FirstCry.com,Pune,"₹ 4,00,000 - 4,50,000                                

                        ₹ 4,00,000 - 4,50,000 /year",Facebook Ads
Alien Brains Private Limited,Work from home,"₹ 2,40,000 - 7,20,000                                

                        ₹ 2,40,000 - 7,20,000 /year",Adobe After Effects
Universal Adventures,Work from home,"₹ 2,40,000 - 3,60,000                                

                        ₹ 2,40,000 - 3,60,000 /year",English Proficiency (Spoken)
Sapphire Tech,Work from home,"₹ 4,00,000 - 7,00,000                                

                        ₹ 4,00,000 - 7,00,000 /year",MS-Excel
Brave Artificial Intelligence Laboratory,Work from home,"₹ 4,00,000 - 10,00,000                                

                        ₹ 4,00,000 - 10,00,000 /year",CSS
Universal Adventures,Work from home,"₹ 2,40,000 - 3,60,000                                

                        ₹ 2,40,000 - 3,60,000 /year",English Proficiency (Spoken)
"CasePilot (San Pedro, Philippines)",Work from home,"₹ 4,50,000 - 9,00,000                                

                        ₹ 4,50,000 - 9,00,000 /year",CSS
Intesome,Work from home,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Digital Marketing
AI Certs,Work from home,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",English Proficiency (Written)
Intesome,Work from home,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Digital Marketing
Intesome,Work from home,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Digital Marketing
"CasePilot (San Pedro, Philippines)",Work from home,"₹ 3,00,000 - 3,90,000                                

                        ₹ 3,00,000 - 3,90,000 /year",UI & UX Design
MediaCom India,Work from home,"₹ 5,00,000 - 8,00,000                                

                        ₹ 5,00,000 - 8,00,000 /year",C++ Programming
Cherag Trader Private Limited,"Hyderabad, Secunderabad                                            (Hybrid)","₹ 2,16,000 - 3,20,000                                

                        ₹ 2,16,000 - 3,20,000 /year",MS-Office
BlackLight Studio Works,Noida,"₹ 3,00,000 - 5,00,000                                

                        ₹ 3,00,000 - 5,00,000 /year",Customer Support
Fadfocus,Pune,"₹ 2,50,000                                

                        ₹ 2,50,000 /year",Effective Communication
Intesome,Work from home,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Digital Marketing
Intesome,Work from home,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Digital Marketing
Artha Dhaara Corporate Advisory,Bhubaneswar,"₹ 2,00,000 - 3,60,000                                

                        ₹ 2,00,000 - 3,60,000 /year",Cold Calling
Digitalasia,Noida,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Digital Marketing
PAMVJ INDIA,Ahmedabad,"₹ 2,40,000 - 3,60,000                                

                        ₹ 2,40,000 - 3,60,000 /year",Digital Marketing
Millet Express,"Hyderabad, Bangalore","₹ 2,24,000 - 2,55,000                                

                        ₹ 2,24,000 - 2,55,000 /year",Client Interaction
"Sevalaya                            
NGO",Chennai,"₹ 2,15,000 - 2,70,000                                

                        ₹ 2,15,000 - 2,70,000 /year",Tally
AY Technologies,Delhi,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",Adobe Photoshop
ONYX TOOLINGS LLP,Rajkot,"₹ 2,25,000 - 3,35,000                                

                        ₹ 2,25,000 - 3,35,000 /year",Effective Communication
Kumudini Educational Cum Charitable Trust,Gurgaon,"₹ 3,00,000 - 5,00,000                                

                        ₹ 3,00,000 - 5,00,000 /year",Digital Marketing
Kay HR Solutions,Zirakpur,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Client Relationship
Decisive Analytical Systems Private Limited,Bangalore,"₹ 2,00,000 - 4,80,000                                

                        ₹ 2,00,000 - 4,80,000 /year",Digital Marketing
Neelam Enterprises,Vadodara,"₹ 2,20,000 - 2,40,000                                

                        ₹ 2,20,000 - 2,40,000 /year",English Proficiency (Spoken)
Argus Logistics Private Limited,Gurgaon,"₹ 2,05,000 - 3,50,000                                

                        ₹ 2,05,000 - 3,50,000 /year",MS-Excel
Hostnetindia,Jaipur,"₹ 2,00,000 - 2,70,000                                

                        ₹ 2,00,000 - 2,70,000 /year",Accounting
BSCJ Enterprises,Mohali,"₹ 2,50,000 - 2,70,000                                

                        ₹ 2,50,000 - 2,70,000 /year",English Proficiency (Spoken)
A R Infotech,Jaipur,"₹ 3,60,000 - 4,00,000                                

                        ₹ 3,60,000 - 4,00,000 /year",Digital Marketing
SKYLARK ORG,Lucknow,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Interpersonal skills
Vastav Intellect IP Solutions,Work from home,"₹ 2,00,000 - 5,52,000                                

                        ₹ 2,00,000 - 5,52,000 /year",Business Development
Make My Radio,Delhi,"₹ 2,10,000 - 2,70,000                                

                        ₹ 2,10,000 - 2,70,000 /year",English Proficiency (Spoken)
Sumridhi,Noida,"₹ 3,00,000 - 3,50,000                                

                        ₹ 3,00,000 - 3,50,000 /year",Business Development
Idealiza Empyre Private Limited,Bhopal,"₹ 2,00,000 - 5,00,000                                

                        ₹ 2,00,000 - 5,00,000 /year",Bootstrap
Kit19 (Pel Softlabs Private Limited),"West Patel Nagar, West","₹ 2,18,000 - 2,76,000                                

                        ₹ 2,18,000 - 2,76,000 /year",Cold Calling
We Decor8,Gurgaon,"₹ 2,51,000 - 3,52,000                                

                        ₹ 2,51,000 - 3,52,000 /year",Content Writing
"Vastav Incubatex & Entrepreneurship Foundation                            
NGO",Work from home,"₹ 2,00,000 - 5,52,000                                

                        ₹ 2,00,000 - 5,52,000 /year",Business Development
The Indian Education Review,Bangalore,"₹ 4,00,000 - 5,00,000                                

                        ₹ 4,00,000 - 5,00,000 /year",Adobe After Effects
Rising Careers,Jalandhar,"₹ 2,64,000 - 5,40,000                                

                        ₹ 2,64,000 - 5,40,000 /year",English Proficiency (Spoken)
Insignia Technolabs,Ahmedabad,"₹ 2,40,000 - 3,60,000                                

                        ₹ 2,40,000 - 3,60,000 /year",CSS
Arthashastra Intelligence Private Limited,Hyderabad,"₹ 4,50,000 - 6,00,000                                

                        ₹ 4,50,000 - 6,00,000 /year",MS-Excel
Viz Travels Private Limited,Noida,"₹ 3,90,000 - 4,50,000                                

                        ₹ 3,90,000 - 4,50,000 /year",English Proficiency (Spoken)
ASAP Recruitment,Raipur,"₹ 2,50,000 - 3,50,000                                

                        ₹ 2,50,000 - 3,50,000 /year",Accounting
Quantasis,Mumbai,"₹ 2,01,000 - 2,21,500                                

                        ₹ 2,01,000 - 2,21,500 /year",Effective Communication
Sulekha Energy Solutions,Pune,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Manual Testing
Globbly Ventures,Delhi,"₹ 3,00,000 - 3,60,000                                

                        ₹ 3,00,000 - 3,60,000 /year",Effective Communication
Talent Affair,Mumbai,"₹ 3,00,000 - 8,00,000                                

                        ₹ 3,00,000 - 8,00,000 /year",Email Marketing
Times Internet,"Gurgaon, Mumbai, Noida, Bangalore","₹ 2,00,000 - 5,00,000                                

                        ₹ 2,00,000 - 5,00,000 /year",Effective Communication
App Successor,"Delhi, Ghaziabad, Greater Noida, Noida","₹ 3,00,000 - 3,60,000                                

                        ₹ 3,00,000 - 3,60,000 /year",Digital Marketing
Visa Navigator's,Chandigarh,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",MS-Excel
KC Convergence Private Limited,Delhi,"₹ 2,25,000 - 5,25,000                                

                        ₹ 2,25,000 - 5,25,000 /year",English Proficiency (Spoken)
CRISIL Limited,Mumbai,"₹ 3,00,000 - 3,50,000                                

                        ₹ 3,00,000 - 3,50,000 /year",ATS
School Of Core AI,Gurgaon,"₹ 2,20,000 - 3,00,000                                

                        ₹ 2,20,000 - 3,00,000 /year",Google Analytics
IBV Technologies,Jaipur,"₹ 2,05,000 - 2,60,000                                

                        ₹ 2,05,000 - 2,60,000 /year",Effective Communication
Fitbudd Software Pvt Ltd,Work from home,"₹ 5,00,000 - 13,00,000                                

                        ₹ 5,00,000 - 13,00,000 /year",Cold Calling
Landmark,Work from home,"$ 3,500 - 5,600                                

                        $ 3,500 - 5,600 /year",Data entry
Science Based Fitness Club,Work from home,"₹ 2,00,000 - 2,25,000                                

                        ₹ 2,00,000 - 2,25,000 /year",Cold Calling
Xplo Animation Services Private Limited,Chennai,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",Cold Calling
Sraboni Sengupta,Work from home,"₹ 2,00,000 - 2,90,000                                

                        ₹ 2,00,000 - 2,90,000 /year",Canva
CareerMaker Solutions,Noida,"₹ 2,05,000 - 3,10,000                                

                        ₹ 2,05,000 - 3,10,000 /year",English Proficiency (Spoken)
Grafikon Realty,Goa Velha,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",English Proficiency (Spoken)
Boomerang,Jaipur,"₹ 2,02,000 - 3,03,000                                

                        ₹ 2,02,000 - 3,03,000 /year",Accounting
2D3D,Work from home,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Adobe After Effects
NamaSYS Analytics,Work from home,"₹ 4,50,000 - 6,00,000                                

                        ₹ 4,50,000 - 6,00,000 /year",Cold Calling
Earthlike Designs,Pune,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Adobe Photoshop
RITIKA AGARWAL,"Delhi, Haryana, Uttar Pradesh, Madhya Pradesh","₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Effective Communication
Knee Xpert,Work from home,"₹ 4,51,000 - 6,60,000                                

                        ₹ 4,51,000 - 6,60,000 /year",Field Sales
Thinking Beans Advertising India Private Limited,Indore,"₹ 2,04,000 - 3,60,000                                

                        ₹ 2,04,000 - 3,60,000 /year",Analytical Thinking
Balaji Engineers,Delhi                                            (Hybrid),"₹ 3,00,000 - 6,00,000                                

                        ₹ 3,00,000 - 6,00,000 /year",Lead Generation
Level Up PR,Mohali,"₹ 2,00,500 - 5,01,000                                

                        ₹ 2,00,500 - 5,01,000 /year",Business Development
Rayaan Overseas,Delhi,"₹ 2,12,000 - 2,30,000                                

                        ₹ 2,12,000 - 2,30,000 /year",Digital Marketing
EduVib,Noida,"₹ 2,00,000 - 3,50,000                                

                        ₹ 2,00,000 - 3,50,000 /year",Administrative Support
Cambridge Veritas,Work from home,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Adobe Photoshop
Effective Management Consultants,Work from home,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
Pro Up,Nagpur,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",Effective Communication
Creative Tools,Noida,"₹ 2,00,000 - 2,75,000                                

                        ₹ 2,00,000 - 2,75,000 /year",AutoCAD
SANGIT INNOVATIONS PVT LTD,Work from home,"₹ 2,00,000 - 5,50,000                                

                        ₹ 2,00,000 - 5,50,000 /year",Effective Communication
SUSHAIN WELLNESS AND WHOLENESS PRIVATE LIMITED,Lucknow,"₹ 2,24,000 - 3,00,001                                

                        ₹ 2,24,000 - 3,00,001 /year",Hindi Proficiency (Spoken)
Europass Immigration Private Limited,Patna                                            (Hybrid),"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",English Proficiency (Spoken)
TRAVEL KIING LEISURE HOLIDAYS PRIVATE LIMITED,Kolkata,"₹ 2,50,000 - 6,00,000                                

                        ₹ 2,50,000 - 6,00,000 /year",Google Sheets
CloudTrain System,"Delhi, Gurgaon, Jabalpur, Indore, Pune, Hyderabad, Bhopal, Mumbai, Noida, Gwalior, Nagpur, Bangalore                                            (Hybrid)","₹ 2,00,000 - 4,20,000                                

                        ₹ 2,00,000 - 4,20,000 /year",Client Relationship Management (CRM)
Karan Agarwal,Noida,"₹ 2,40,000 - 3,00,000                                

                        ₹ 2,40,000 - 3,00,000 /year",Business Development
Mohammad Adil  Akhtar,Work from home,"₹ 2,00,000 - 2,00,001                                

                        ₹ 2,00,000 - 2,00,001 /year",Figma
Spoors Technology Solutions India Private Limited,Hyderabad,"₹ 3,00,000                                

                        ₹ 3,00,000 /year",Cold Calling
Amicco,Manesar,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",B2B Sales
LawLevelUP,Ghaziabad,"₹ 2,92,000 - 4,00,000                                

                        ₹ 2,92,000 - 4,00,000 /year",Artificial intelligence
Primark Travel House Pvt. Ltd,Mumbai,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Email Marketing
Kasaa Hues,Delhi,"₹ 2,75,000 - 3,25,000                                

                        ₹ 2,75,000 - 3,25,000 /year",Adobe Illustrator
SWAYAMKRUSHI HOME SERVICES LLP,"Hyderabad, Mumbai                                            (Hybrid)","₹ 4,80,000 - 7,20,000                                

                        ₹ 4,80,000 - 7,20,000 /year",Administrative Support
SHWETA KAPOOR'S IDEAS,Delhi,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Video Editing
GeniuxTech Solutions,Gurgaon,"₹ 4,00,000 - 10,00,000                                

                        ₹ 4,00,000 - 10,00,000 /year",English Proficiency (Spoken)
TotalVDO,"Delhi, Noida                                            (Hybrid)","₹ 2,40,000 - 4,00,000                                

                        ₹ 2,40,000 - 4,00,000 /year",Automation
Covalent Softwares Private Limited,Delhi,"₹ 4,00,000 - 5,00,000                                

                        ₹ 4,00,000 - 5,00,000 /year",Client Relationship Management (CRM)
Video Preneur Studios,Bhopal,"₹ 3,00,000 - 4,00,000                                

                        ₹ 3,00,000 - 4,00,000 /year",Adobe After Effects
SocialVocial Digital Solutions Private Limited,Delhi,"₹ 3,05,000 - 4,86,000                                

                        ₹ 3,05,000 - 4,86,000 /year",Digital Marketing
Karam Chand Logistics - KCL,Work from home,"₹ 2,20,000 - 3,00,000                                

                        ₹ 2,20,000 - 3,00,000 /year",Effective Communication
Intesome,Work from home,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Digital Marketing
Bitlance Tech Hub Private Limited,Work from home,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",CSS
Bitlance Tech Hub Private Limited,Work from home,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",CSS
FlippAR,Hyderabad,"₹ 2,70,000 - 3,00,000                                

                        ₹ 2,70,000 - 3,00,000 /year",Customer Acquisition
Rapidsoft Technologies,Gurgaon,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Effective Communication
AEMS Saudi Arabia,Work from home,"₹ 2,50,000 - 3,60,000                                

                        ₹ 2,50,000 - 3,60,000 /year",English Proficiency (Spoken)
Dream Mbbs Study Abroad LLP,Noida,"₹ 2,34,000 - 3,12,000                                

                        ₹ 2,34,000 - 3,12,000 /year",Cold Calling
Nimisha Singhal,Delhi,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Adobe Illustrator
Nusrat  Khan,Pune,"₹ 3,00,000 - 5,00,000                                

                        ₹ 3,00,000 - 5,00,000 /year",Quality Assurance/Quality Control (QA/QC)
Proptelligence Technologies,"Chennai, Delhi, Kolkata, Pune, Visakhapatnam, Hyderabad, Mumbai, Noida, Bangalore                                            (Hybrid)","₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",Digital Marketing
Talensiya Consulting,Delhi,"₹ 2,00,000 - 2,20,000                                

                        ₹ 2,00,000 - 2,20,000 /year",Recruitment
The Go-To Guy Consulting Services,Pune,"₹ 3,60,000 - 4,00,000                                

                        ₹ 3,60,000 - 4,00,000 /year",Client Relationship Management (CRM)
Successcribe,Gurgaon,"₹ 2,70,000 - 3,50,000                                

                        ₹ 2,70,000 - 3,50,000 /year",Counseling
SANVER INDIA PRIVATE LIMITED,Mumbai,"₹ 2,64,000 - 4,60,000                                

                        ₹ 2,64,000 - 4,60,000 /year",Client Interaction
The RAD Workshop,Work from home,"₹ 3,00,000 - 3,60,000                                

                        ₹ 3,00,000 - 3,60,000 /year",Autodesk Fusion 360
Govardhan Learning Cloud Private Limited,Delhi,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",English Proficiency (Spoken)
Urban Company,Ahmedabad,"₹ 2,50,000 - 3,00,000                                

                        ₹ 2,50,000 - 3,00,000 /year",MS-Excel
NCode Technologies,Ahmedabad,"₹ 2,00,000 - 4,00,000                                

                        ₹ 2,00,000 - 4,00,000 /year",Client Relationship Management (CRM)
Muskan Equipments Co.,Delhi,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Client Interaction
Pixel Media,"Noida, Delhi","₹ 2,00,000 - 6,00,000                                

                        ₹ 2,00,000 - 6,00,000 /year",Influencer Marketing
ELITEBROKEDGE SECURITIES,Delhi,"₹ 2,45,000 - 3,50,000                                

                        ₹ 2,45,000 - 3,50,000 /year",Banking
Telly Tales,Mumbai,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Videography
Flotech Engineering And Trading Services,Bangalore,"₹ 3,20,000 - 4,25,000                                

                        ₹ 3,20,000 - 4,25,000 /year",MS-Excel
Sanghvi Chemicals,Mumbai                                            (Hybrid),"₹ 2,40,000 - 3,50,000                                

                        ₹ 2,40,000 - 3,50,000 /year",Email Marketing
Outback Ventures,Delhi,"₹ 2,00,000 - 2,20,000                                

                        ₹ 2,00,000 - 2,20,000 /year",Client Relationship Management (CRM)
Megaminds IT Services,Work from home,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Algorithms
Sheisin,Kolkata,"₹ 2,00,000 - 2,04,000                                

                        ₹ 2,00,000 - 2,04,000 /year",Effective Communication
Hys & Beauty Private Limited,Gurgaon,"₹ 2,66,000 - 4,00,000                                

                        ₹ 2,66,000 - 4,00,000 /year",Effective Communication
Eram Group,"Thane, Ambernath                                            (Hybrid)","₹ 2,06,000 - 3,05,000                                

                        ₹ 2,06,000 - 3,05,000 /year",MS-Excel
Orgaearth Laundry Solutions,Gurgaon,"₹ 2,00,000 - 2,10,000                                

                        ₹ 2,00,000 - 2,10,000 /year",Creative Writing
ETSC Computers Private Limited,Jaipur,"₹ 2,40,000 - 3,60,000                                

                        ₹ 2,40,000 - 3,60,000 /year",Client Relationship Management (CRM)
Voltvision Tek Pvt Ltd,Hyderabad                                            (Hybrid),"₹ 3,00,000 - 4,50,000                                

                        ₹ 3,00,000 - 4,50,000 /year",CSS
Braj Bhoomi Realty Private Limited,Noida,"₹ 2,00,000 - 2,70,000                                

                        ₹ 2,00,000 - 2,70,000 /year",Effective Communication
ALPHA ENGINEERS,Lucknow,"₹ 2,00,000                                

                        ₹ 2,00,000 /year",Accounting
United Resources Incorporation,Bhubaneswar,"₹ 2,00,000 - 2,40,000                                

                        ₹ 2,00,000 - 2,40,000 /year",Accounting
SMCA Chess School Mumbai,Mumbai,"₹ 2,50,000 - 2,80,000                                

                        ₹ 2,50,000 - 2,80,000 /year",English Proficiency (Spoken)
MAK Kotwal Realty,Mumbai,"₹ 3,00,000 - 4,80,000                                

                        ₹ 3,00,000 - 4,80,000 /year",English Proficiency (Spoken)
Limescreen Entertainment & Productions,Bangalore,"₹ 3,10,000 - 4,60,000                                

                        ₹ 3,10,000 - 4,60,000 /year",Client Relationship
SandyMedia,Work from home,"₹ 2,50,000 - 3,60,000                                

                        ₹ 2,50,000 - 3,60,000 /year",Digital Marketing
Spendtech,Work from home,"₹ 3,00,000 - 3,00,001                                

                        ₹ 3,00,000 - 3,00,001 /year",Bootstrap
AIM Placement Services,"Jabalpur, Indore, Kolkata, Ranchi, Bhopal, Jaipur","₹ 2,87,000 - 6,16,000                                

                        ₹ 2,87,000 - 6,16,000 /year",Effective Communication
PlanetSpark,Work from home,"₹ 2,50,000 - 4,50,000                                

                        ₹ 2,50,000 - 4,50,000 /year",American English
PlanetSpark,Work from home,"₹ 2,50,000 - 4,50,000                                

                        ₹ 2,50,000 - 4,50,000 /year",American English
Social Emerger Web Solutions,Delhi,"₹ 2,00,000 - 2,50,000                                

                        ₹ 2,00,000 - 2,50,000 /year",English Proficiency (Spoken)
Kallakunta Healthcare Services Private Limited (Primera Dental Hub),Work from home,"₹ 2,00,000 - 4,50,000                                

                        ₹ 2,00,000 - 4,50,000 /year",English Proficiency (Spoken)
Aspridetech Solutions Private Limited,Bangalore,"₹ 3,50,000 - 6,00,000                                

                        ₹ 3,50,000 - 6,00,000 /year",Branding
Competent Groove,Mohali,"₹ 2,00,000 - 3,00,000                                

                        ₹ 2,00,000 - 3,00,000 /year",Effective Communication
Nikhil Shah,Mumbai                                            (Hybrid),"₹ 2,00,000                                

                        ₹ 2,00,000 /year",MS-Excel
